group	fill	clickSelects
1	#FFFFFF	401
2	#FFFFFF	401
3	#FFFFFF	401
4	#FFFFFF	66
5	#FFFFFF	66
6	#FFFFFF	66
7	#FFFFFF	66
8	#FFFFFF	66
9	#FFFFFF	66
10	#FFFFFF	66
11	#FFFFFF	66
12	#FFFFFF	66
13	#FFFFFF	66
14	#FFFFFF	143
15	#FFFFFF	66
16	#FFFFFF	143
17	#FFFFFF	143
18	#FFFFFF	143
19	#FFFFFF	143
20	#FFFFFF	143
21	#FFFFFF	143
22	#FFFFFF	143
23	#FFFFFF	143
24	#FFFFFF	143
25	#FFFFFF	143
26	#FFFFFF	72
27	#FFFFFF	72
28	#FFFFFF	72
29	#FFFFFF	72
30	#FFFFFF	72
31	#FFFFFF	72
32	#FFFFFF	143
33	#FFFFFF	143
34	#FFFFFF	143
35	#FFFFFF	143
36	#FFFFFF	143
37	#FFFFFF	143
38	#FFFFFF	143
39	#FFFFFF	143
40	#FFFFFF	72
41	#FFFFFF	72
42	#FFFFFF	72
43	#FFFFFF	172
44	#FFFFFF	172
45	#FFFFFF	172
46	#FFFFFF	143
47	#FFFFFF	66
48	#FFFFFF	66
49	#FFFFFF	66
50	#FFFFFF	66
51	#FFFFFF	688
52	#FFFFFF	688
53	#FFFFFF	401
54	#FFFFFF	66
55	#FFFFFF	66
56	#FFFFFF	66
57	#FFFFFF	66
58	#FFFFFF	66
59	#FFFFFF	66
60	#FFFFFF	66
61	#FFFFFF	66
62	#FFFFFF	66
63	#FFFFFF	66
64	#FFFFFF	159
65	#FFFFFF	66
66	#FFFFFF	66
67	#FFFFFF	66
68	#FFFFFF	143
69	#FFFFFF	143
70	#FFFFFF	143
71	#FFFFFF	143
72	#FFFFFF	143
73	#FFFFFF	143
74	#FFFFFF	143
75	#FFFFFF	143
76	#FFFFFF	143
77	#FFFFFF	143
78	#FFFFFF	143
79	#FFFFFF	72
80	#FFFFFF	72
81	#FFFFFF	72
82	#FFFFFF	72
83	#FFFFFF	143
84	#FFFFFF	143
85	#FFFFFF	143
86	#FFFFFF	143
87	#FFFFFF	143
88	#FFFFFF	143
89	#FFFFFF	143
90	#FFFFFF	143
91	#FFFFFF	143
92	#FFFFFF	72
93	#FFFFFF	72
94	#FFFFFF	172
95	#FFFFFF	172
96	#FFFFFF	172
97	#FFFFFF	143
98	#FFFFFF	143
