group	label	showSelected1
1	Cluster 3: 203/1156 pixels shown, logFC -1.6 to 1.2, log10(p) 0.0 to 2.8	3
1	Cluster 8: 111/267 pixels shown, logFC -0.8 to 2.7, log10(p) 0.0 to 9.7	8
1	Cluster 31: 225/242 pixels shown, logFC -5.2 to 2.2, log10(p) 0.0 to 3.2	31
1	Cluster 53: 12/6963 pixels shown, logFC -1.5 to 1.3, log10(p) 0.0 to 3.9	53
1	Cluster 69: 12/742 pixels shown, logFC -2.1 to 1.6, log10(p) 0.0 to 3.0	69
1	Cluster 78: 187/2053 pixels shown, logFC -0.3 to 2.3, log10(p) 0.1 to 21.2	78
1	Cluster 90: 22/1435 pixels shown, logFC -3.7 to 3.0, log10(p) 0.0 to 4.4	90
1	Cluster 93: 18/181 pixels shown, logFC -0.9 to 3.3, log10(p) 0.0 to 8.5	93
1	Cluster 116: 1/751 pixels shown, logFC -5.2 to 3.4, log10(p) 0.0 to 3.2	116
1	Cluster 122: 2/346 pixels shown, logFC 0.1 to 2.4, log10(p) 0.0 to 13.1	122
1	Cluster 129: 34/814 pixels shown, logFC -4.2 to 4.9, log10(p) 0.0 to 2.6	129
1	Cluster 174: 350/350 pixels shown, logFC -2.2 to 1.3, log10(p) 0.0 to 2.0	174
1	Cluster 180: 445/834 pixels shown, logFC -1.0 to 1.2, log10(p) 0.0 to 3.1	180
1	Cluster 186: 8/1120 pixels shown, logFC -1.6 to 1.4, log10(p) 0.0 to 4.3	186
1	Cluster 191: 100/266 pixels shown, logFC -4.7 to 4.6, log10(p) 0.0 to 8.1	191
1	Cluster 195: 102/1570 pixels shown, logFC -2.9 to 1.9, log10(p) 0.0 to 3.2	195
1	Cluster 277: 241/968 pixels shown, logFC -4.7 to 3.7, log10(p) 0.0 to 3.9	277
1	Cluster 285: 178/1136 pixels shown, logFC -4.9 to 5.2, log10(p) 0.0 to 4.0	285
1	Cluster 331: 75/172 pixels shown, logFC -4.4 to 2.5, log10(p) 0.0 to 2.2	331
1	Cluster 352: 53/53 pixels shown, logFC 0.6 to 2.3, log10(p) 1.1 to 10.9	352
1	Cluster 362: 113/241 pixels shown, logFC -3.7 to 1.4, log10(p) 0.0 to 4.2	362
1	Cluster 365: 133/1826 pixels shown, logFC -2.1 to 1.9, log10(p) 0.0 to 5.0	365
1	Cluster 382: 126/126 pixels shown, logFC -1.8 to 2.4, log10(p) 0.0 to 6.6	382
1	Cluster 464: 91/92 pixels shown, logFC -1.1 to 1.3, log10(p) 0.0 to 1.7	464
1	Cluster 467: 102/206 pixels shown, logFC -2.7 to 2.3, log10(p) 0.0 to 2.5	467
1	Cluster 472: 275/275 pixels shown, logFC -4.5 to 4.3, log10(p) 0.0 to 2.0	472
1	Cluster 500: 21/71 pixels shown, logFC 0.1 to 2.8, log10(p) 0.1 to 9.7	500
1	Cluster 598: 137/137 pixels shown, logFC -1.7 to 1.7, log10(p) 0.0 to 2.2	598
1	Cluster 631: 113/627 pixels shown, logFC 0.3 to 2.5, log10(p) 0.6 to 14.6	631
1	Cluster 664: 33/34 pixels shown, logFC -0.9 to 0.9, log10(p) 0.0 to 1.2	664
1	Cluster 682: 42/64 pixels shown, logFC 0.0 to 2.1, log10(p) 0.0 to 8.7	682
1	Cluster 737: 197/197 pixels shown, logFC -1.1 to 1.4, log10(p) 0.0 to 1.9	737
1	Cluster 738: 67/67 pixels shown, logFC -0.9 to 1.4, log10(p) 0.0 to 1.8	738
